simulation_time,TRadSet_degC,fcuLvlSet,V_flow_SupSet
12864060,20.594375,1,80.41
12864120,20.59291667,1,80.41
12864180,20.59145833,0,80.41
12864240,20.59,0,80.41
12864300,20.58854167,0,80.41
12864360,20.58708333,0,80.41
12864420,20.585625,0,80.41
12864480,20.58416667,0,80.41
12864540,20.58270833,0,80.41
12864600,20.58125,0,80.41
12864660,20.57979167,0,80.41
12864720,20.57833333,0,80.41
12864780,20.576875,1,80.41
12864840,20.57541667,1,80.41
12864900,20.57395833,1,80.41
12864960,20.5725,1,80.41
12865020,20.57104167,1,80.41
12865080,20.56958333,1,80.41
12865140,20.568125,1,80.41
12865200,20.56666667,1,80.41
12865260,20.56520833,1,80.41
12865320,20.56375,0,80.41
12865380,20.56229167,0,80.41
12865440,20.56083333,0,80.41
12865500,20.559375,0,80.41
12865560,20.55791667,0,80.41
12865620,20.55645833,0,80.41
12865680,20.555,0,80.41
12865740,20.55354167,0,80.41
12865800,20.55208333,0,80.41
12865860,20.550625,0,80.41
12865920,20.54916667,0,80.41
12865980,20.54770833,1,80.41
12866040,20.54625,1,80.41
12866100,20.54479167,1,80.41
12866160,20.54333333,1,80.41
12866220,20.541875,1,80.41
12866280,20.54041667,1,80.41
12866340,20.53895833,1,80.41
12866400,20.5375,1,80.41
12866460,20.53604167,0,80.41
12866520,20.53458333,0,80.41
12866580,20.533125,0,80.41
12866640,20.53166667,0,80.41
12866700,20.53020833,0,80.41
12866760,20.52875,0,80.41
12866820,20.52729167,0,80.41
12866880,20.52583333,0,80.41
12866940,20.524375,0,80.41
12867000,20.52291667,0,80.41
12867060,20.52145833,0,80.41
12867120,20.52,0,80.41
12867180,20.51854167,1,80.41
12867240,20.51708333,1,80.41
12867300,20.515625,1,80.41
12867360,20.51416667,1,80.41
12867420,20.51270833,1,80.41
12867480,20.51125,1,80.41
12867540,20.50979167,1,80.41
12867600,20.50833333,1,80.41
12867660,20.506875,0,80.41
12867720,20.50541667,0,80.41
12867780,20.50395833,0,80.41
12867840,20.5025,0,80.41
12867900,20.50104167,0,80.41
12867960,20.49958333,0,80.41
12868020,20.498125,0,80.41
12868080,20.49666667,0,80.41
12868140,20.49520833,0,80.41
12868200,20.49375,0,80.41
12868260,20.49229167,0,80.41
12868320,20.49083333,0,80.41
12868380,20.489375,0,80.41
12868440,20.48791667,1,80.41
12868500,20.48645833,1,80.41
12868560,20.485,1,80.41
12868620,20.48354167,1,80.41
12868680,20.48208333,1,80.41
12868740,20.480625,1,80.41
12868800,20.47916667,1,80.41
12868860,20.47770833,1,80.41
12868920,20.47625,0,80.41
12868980,20.47479167,0,80.41
12869040,20.47333333,0,80.41
12869100,20.471875,0,80.41
12869160,20.47041667,0,80.41
12869220,20.46895833,0,80.41
12869280,20.4675,0,80.41
12869340,20.46604167,0,80.41
12869400,20.46458333,0,80.41
12869460,20.463125,0,80.41
12869520,20.46166667,0,80.41
12869580,20.46020833,0,80.41
12869640,20.45875,0,80.41
12869700,20.45729167,0,80.41
12869760,20.45583333,1,80.41
12869820,20.454375,1,80.41
12869880,20.45291667,1,80.41
12869940,20.45145833,1,80.41
12870000,20.45,1,80.41
12870060,20.44851217,1,80.41
12870120,20.4469664,1,80.41
12870180,20.44536429,1,80.41
12870240,20.44370741,0,80.41
12870300,20.44199735,0,80.41
12870360,20.44023571,0,80.41
12870420,20.43842407,0,80.41
12870480,20.43656402,0,80.41
12870540,20.43465714,0,80.41
12870600,20.43270503,0,80.41
12870660,20.43070926,0,80.41
12870720,20.42867143,0,80.41
12870780,20.42659312,0,80.41
12870840,20.42447593,0,80.41
12870900,20.42232143,0,80.41
12870960,20.42013122,0,80.41
12871020,20.41790688,0,80.41
12871080,20.41565,1,80.41
12871140,20.41336217,1,80.41
12871200,20.41104497,1,80.41
12871260,20.4087,1,80.41
12871320,20.40632884,1,80.41
12871380,20.40393307,1,80.41
12871440,20.40151429,1,80.41
12871500,20.39907407,1,80.41
12871560,20.39661402,0,80.41
12871620,20.39413571,0,80.41
12871680,20.39164074,0,80.41
12871740,20.38913069,0,80.41
12871800,20.38660714,0,80.41
12871860,20.38407169,0,80.41
12871920,20.38152593,0,80.41
12871980,20.37897143,0,80.41
12872040,20.37640979,0,80.41
12872100,20.37384259,0,80.41
12872160,20.37127143,0,80.41
12872220,20.36869788,0,80.41
12872280,20.36612354,0,80.41
12872340,20.36355,1,80.41
12872400,20.36097884,1,80.41
12872460,20.35841164,1,80.41
12872520,20.35585,1,80.41
12872580,20.3532955,1,80.41
12872640,20.35074974,1,80.41
12872700,20.34821429,1,80.41
12872760,20.34569074,1,80.41
12872820,20.34318069,0,80.41
12872880,20.34068571,0,80.41
12872940,20.33820741,0,80.41
