simulation_time,TRm_degC,TAmb_degC,senPir,conCo2Rm
12864060,22.73407606,18.3775,1,880.2570792
12864120,22.64065125,18.37166667,1,880.2573149
12864180,22.56735086,18.36583333,1,880.2575438
12864240,23.06142612,18.36,1,880.2577681
12864300,23.44119019,18.35416667,1,880.2579857
12864360,23.73874331,18.34833333,1,880.2581974
12864420,23.9687705,18.3425,1,880.2584028
12864480,24.14842745,18.33666667,1,880.2586023
12864540,24.28836915,18.33083333,1,880.2587959
12864600,24.39782347,18.325,1,880.2589837
12864660,24.48904878,18.31916667,1,880.2591675
12864720,24.55631688,18.31333333,1,880.2593447
12864780,24.61293178,18.3075,1,880.2595183
12864840,24.17847754,18.30166667,1,880.2596851
12864900,23.76521549,18.29583333,1,880.2598489
12864960,23.42553354,18.29,1,880.260008
12865020,23.15745674,18.28416667,1,880.2601626
12865080,22.94964638,18.27833333,1,880.2603127
12865140,22.78977203,18.2725,1,880.2604583
12865200,22.66663035,18.26666667,1,880.2605996
12865260,22.57089269,18.26083333,1,880.2607369
12865320,22.49580317,18.255,1,880.2608702
12865380,22.98603375,18.24916667,1,880.2610007
12865440,23.36672982,18.24333333,1,880.2611276
12865500,23.66089648,18.2375,1,880.2612508
12865560,23.88991933,18.23166667,1,880.2613705
12865620,24.06732301,18.22583333,1,880.2614867
12865680,24.20458711,18.22,1,880.2615993
12865740,24.31229608,18.21416667,1,880.2617087
12865800,24.40205615,18.20833333,1,880.2618156
12865860,24.46811108,18.2025,1,880.2619188
12865920,24.52370901,18.19666667,1,880.2620198
12865980,24.56436102,18.19083333,1,880.2621172
12866040,24.12173543,18.185,1,880.2622114
12866100,23.7024813,18.17916667,1,880.2623041
12866160,23.35835362,18.17333333,1,880.2623942
12866220,23.08679368,18.1675,1,880.2624817
12866280,22.87626247,18.16166667,1,880.2625666
12866340,22.71427882,18.15583333,1,880.262649
12866400,22.58951546,18.15,1,880.262729
12866460,22.49267833,18.14416667,1,880.2628067
12866520,22.9654561,18.13833333,1,880.2628827
12866580,23.32958122,18.1325,1,880.2629565
12866640,23.61470567,18.12666667,1,880.2630282
12866700,23.83691597,18.12083333,1,880.2630979
12866760,24.00949777,18.115,1,880.2631655
12866820,24.14348456,18.10916667,1,880.2632311
12866880,24.2484723,18.10333333,1,880.2632948
12866940,24.33648236,18.0975,1,880.263357
12867000,24.40151924,18.09166667,1,880.2634171
12867060,24.45666393,18.08583333,1,880.2634759
12867120,24.49730873,18.08,1,880.2635325
12867180,24.53212658,18.07416667,1,880.2635881
12867240,24.08318572,18.06833333,1,880.2636414
12867300,23.65934953,18.0625,1,880.2636939
12867360,23.31224876,18.05666667,1,880.2637448
12867420,23.0393287,18.05083333,1,880.2637943
12867480,22.82838577,18.045,1,880.2638424
12867540,22.66652056,18.03916667,1,880.263889
12867600,22.54212751,18.03333333,1,880.2639342
12867660,22.44572377,18.0275,1,880.2639782
12867720,22.91722645,18.02166667,1,880.2640212
12867780,23.28397413,18.01583333,1,880.264063
12867840,23.56514024,18.01,1,880.2641035
12867900,23.78413839,18.00416667,1,880.2641429
12867960,23.95660137,17.99833333,1,880.2641812
12868020,24.09063221,17.9925,1,880.2642183
12868080,24.19548282,17.98666667,1,880.2642543
12868140,24.28337547,17.98083333,1,880.2642895
12868200,24.34834597,17.975,1,880.2643235
12868260,24.40334141,17.96916667,1,880.2643568
12868320,24.44393714,17.96333333,1,880.2643889
12868380,24.47878432,17.9575,1,880.2644203
12868440,24.50468788,17.95166667,1,880.2644507
12868500,24.05085177,17.94583333,1,880.2644799
12868560,23.62380016,17.94,1,880.2645088
12868620,23.27447972,17.93416667,1,880.2645368
12868680,22.99962948,17.92833333,1,880.264564
12868740,22.78712682,17.9225,1,880.2645905
12868800,22.62404908,17.91666667,1,880.2646161
12868860,22.49869348,17.91083333,1,880.264641
12868920,22.40153195,17.905,1,880.2646652
12868980,22.87097002,17.89916667,1,880.2646888
12869040,23.23650565,17.89333333,1,880.2647118
12869100,23.516999,17.8875,1,880.2647341
12869160,23.73556431,17.88166667,1,880.2647558
12869220,23.90647553,17.87583333,1,880.2647768
12869280,24.03971123,17.87,1,880.2647973
12869340,24.14379025,17.86416667,1,880.2648171
12869400,24.23095971,17.85833333,1,880.2648364
12869460,24.29550702,17.8525,1,880.2648551
12869520,24.34995305,17.84666667,1,880.2648734
12869580,24.39016469,17.84083333,1,880.2648911
12869640,24.42444652,17.835,1,880.2649084
12869700,24.44974434,17.82916667,1,880.264925
12869760,24.47146641,17.82333333,1,880.2649413
12869820,24.01377323,17.8175,1,880.264957
12869880,23.58370541,17.81166667,1,880.2649724
12869940,23.23172098,17.80583333,1,880.2649874
12870000,22.95549506,17.8,1,880.2650019
12870060,22.74220359,17.79404868,1,880.2650161
