simulation_time,TRm_degC,TAmb_degC,senPir,conCo2Rm
12870120,22.57877941,17.78786561,1,880.2650298
12870180,22.45335184,17.78145714,1,880.2650431
12870240,22.35645612,17.77482963,1,880.265056
12870300,22.82469088,17.76798942,1,880.2650686
12870360,23.18853381,17.76094286,1,880.2650809
12870420,23.46995565,17.7536963,1,880.2650929
12870480,23.68840354,17.74625608,1,880.2651044
12870540,23.85944794,17.73862857,1,880.2651157
12870600,23.99290023,17.73082011,1,880.2651266
12870660,24.0974275,17.72283704,1,880.2651372
12870720,24.18515089,17.71468571,1,880.2651475
12870780,24.25008439,17.70637249,1,880.2651575
12870840,24.30531541,17.6979037,1,880.2651673
12870900,24.3462675,17.68928571,1,880.2651767
12870960,24.38145055,17.68052487,1,880.265186
12871020,24.40765733,17.67162751,1,880.2651949
12871080,24.43046379,17.6626,1,880.2652036
12871140,23.9750519,17.65344868,1,880.265212
12871200,23.54625305,17.64417989,1,880.2652202
12871260,23.19589222,17.6348,1,880.2652282
12871320,22.92133644,17.62531534,1,880.265236
12871380,22.70943438,17.61573228,1,880.2652436
12871440,22.547079,17.60605714,1,880.2652509
12871500,22.42308671,17.5962963,1,880.265258
12871560,22.32654386,17.58645608,1,880.2652649
12871620,22.79412468,17.57654286,1,880.2652717
12871680,23.15899174,17.56656296,1,880.2652782
12871740,23.43816201,17.55652275,1,880.2652846
12871800,23.65624587,17.54642857,1,880.2652908
12871860,23.82710423,17.53628677,1,880.2652968
12871920,23.96003626,17.5261037,1,880.2653026
12871980,24.06448598,17.51588571,1,880.2653083
12872040,24.15223038,17.50563915,1,880.2653138
12872100,24.21720723,17.49537037,1,880.2653192
12872160,24.2724396,17.48508571,1,880.2653244
12872220,24.31338924,17.47479153,1,880.2653294
12872280,24.34857041,17.46449418,1,880.2653344
12872340,24.37481483,17.4542,1,880.2653391
12872400,23.92521189,17.44391534,1,880.2653437
12872460,23.50189333,17.43364656,1,880.2653483
12872520,23.15578447,17.4234,1,880.2653527
12872580,22.88378981,17.41318201,1,880.2653569
12872640,22.67375761,17.40299894,1,880.2653611
12872700,22.51379425,17.39285714,1,880.2653651
12872760,22.39003555,17.38276296,1,880.265369
12872820,22.29431321,17.37272275,1,880.2653728
12872880,22.76121733,17.36274286,1,880.2653766
12872940,23.12528588,17.35282963,1,880.2653802
12873000,23.40462086,17.34298942,1,880.2653837
12873060,23.62268072,17.33322857,1,880.2653871
12873120,23.79346455,17.32355344,1,880.2653904
12873180,23.92650117,17.31397037,1,880.2653936
12873240,24.03094613,17.30448571,1,880.2653967
12873300,24.11870084,17.29510582,1,880.2653998
12873360,24.18372164,17.28583704,1,880.2654027
12873420,24.23899658,17.27668571,1,880.2654056
12873480,24.27996591,17.2676582,1,880.2654083
12873540,24.31522034,17.25876085,1,880.2654111
12873600,23.87217639,17.25,1,880.2654137
12873660,23.45359384,17.2413145,1,880.2654162
12873720,23.11134438,17.23263902,1,880.2654187
12873780,22.8427545,17.22397366,1,880.2654211
12873840,22.63539129,17.21531852,1,880.2654235
12873900,22.47660591,17.20667369,1,880.2654258
12873960,22.35468782,17.19803929,1,880.265428
12874020,22.2603958,17.18941539,1,880.2654301
12874080,22.72711422,17.18080212,1,880.2654322
12874140,23.09141064,17.17219955,1,880.2654343
12874200,23.37215806,17.1636078,1,880.2654363
12874260,23.59170785,17.15502697,1,880.2654382
12874320,23.76203783,17.14645714,1,880.2654401
12874380,23.89450924,17.13789843,1,880.2654419
12874440,23.99876377,17.12935093,1,880.2654436
12874500,24.08637682,17.12081473,1,880.2654454
12874560,24.15130185,17.11228995,1,880.265447
12874620,24.20654171,17.10377667,1,880.2654486
12874680,24.25023671,17.095275,1,880.2654502
12874740,24.28276931,17.08678504,1,880.2654518
12874800,23.84060181,17.07830688,1,880.2654532
12874860,23.42320925,17.06984062,1,880.2654547
12874920,23.0813763,17.06138638,1,880.2654561
12874980,22.81334209,17.05294423,1,880.2654575
12875040,22.60798717,17.04451429,1,880.2654588
12875100,22.44904167,17.03609664,1,880.2654601
12875160,22.32710018,17.0276914,1,880.2654613
12875220,22.23281743,17.01929866,1,880.2654626
12875280,22.69913347,17.01091852,1,880.2654637
12875340,23.06121324,17.00255107,1,880.2654649
12875400,23.33956453,16.99419643,1,880.265466
12875460,23.55763446,16.98585468,1,880.2654671
12875520,23.728505,16.97752593,1,880.2654682
12875580,23.86180277,16.96921027,1,880.2654692
12875640,23.96635496,16.9609078,1,880.2654702
12875700,24.05423569,16.95261863,1,880.2654712
12875760,24.11941319,16.94434286,1,880.2654721
12875820,24.17483136,16.93608057,1,880.265473
12875880,24.21595839,16.92783188,1,880.2654739
12875940,24.25135919,16.91959688,1,880.2654748
12876000,23.81028657,16.91137566,1,880.2654756
12876060,23.39396437,16.90316834,1,880.2654764
12876120,23.0530797,16.894975,1,880.2654772
12876180,22.785402,16.88679575,1,880.265478
12876240,22.57899746,16.87863069,1,880.2654788
12876300,22.42061189,16.87047991,1,880.2654795
12876360,22.29912021,16.86234352,1,880.2654802
12876420,22.20518722,16.85422161,1,880.2654809
12876480,22.67087758,16.84611429,1,880.2654816
12876540,23.03321152,16.83802164,1,880.2654822
12876600,23.31115117,16.82994378,1,880.2654829
12876660,23.53050904,16.8218808,1,880.2654835
12876720,23.6993395,16.8138328,1,880.2654841
12876780,23.83224307,16.80579988,1,880.2654847
12876840,23.93664833,16.79778214,1,880.2654852
12876900,24.02442226,16.78977968,1,880.2654858
12876960,24.08952257,16.78179259,1,880.2654863
12877020,24.14489223,16.77382098,1,880.2654868
12877080,24.18603953,16.76586495,1,880.2654873
12877140,24.2214139,16.75792459,1,880.2654878
12877200,23.78140112,16.75,1,880.2654883
12877260,23.36647631,16.74211806,1,880.2654888
12877320,23.02653612,16.73430556,1,880.2654892
12877380,22.76035814,16.7265625,1,880.2654896
12877440,22.55317814,16.71888889,1,880.2654901
12877500,22.3942159,16.71128472,1,880.2654905
12877560,22.27219431,16.70375,1,880.2654909
12877620,22.17775656,16.69628472,1,880.2654913
12877680,22.10415147,16.68888889,1,880.2654917
12877740,22.58279273,16.6815625,1,880.265492
12877800,22.95423619,16.67430556,1,880.2654924
12877860,23.24348554,16.66711806,1,880.2654927
12877920,23.46644848,16.66,1,880.2654931
12877980,23.64076954,16.65295139,1,880.2654934
12878040,23.77648245,16.64597222,1,880.2654937
12878100,23.88329412,16.6390625,1,880.265494
12878160,23.97282268,16.63222222,1,880.2654943
12878220,24.03916804,16.62545139,1,880.2654946
12878280,24.09543349,16.61875,1,880.2654949
12878340,24.13710203,16.61211806,1,880.2654952
12878400,24.17285308,16.60555556,1,880.2654955
12878460,23.73378773,16.5990625,1,880.2654957
12878520,23.31979819,16.59263889,1,880.265496
12878580,22.98084039,16.58628472,1,880.2654962
12878640,22.71590038,16.58,1,880.2654965
12878700,22.50944003,16.57378472,1,880.2654967
12878760,22.35106808,16.56763889,1,880.2654969
12878820,22.22951421,16.5615625,1,880.2654972
12878880,22.13544782,16.55555556,1,880.2654974
12878940,22.59863356,16.54961806,1,880.2654976
12879000,22.95812209,16.54375,1,880.2654978
12879060,23.23661253,16.53795139,1,880.265498
12879120,23.45238656,16.53222222,1,880.2654982
12879180,23.62140768,16.5265625,1,880.2654984
12879240,23.7529138,16.52097222,1,880.2654985
12879300,23.85623258,16.51545139,1,880.2654987
12879360,23.94337282,16.51,1,880.2654989
12879420,24.00778827,16.50461806,1,880.2654991
12879480,24.06223941,16.49930556,1,880.2654992
12879540,24.10280695,16.4940625,1,880.2654994
12879600,24.13735233,16.48888889,1,880.2654995
12879660,23.69889963,16.48378472,1,880.2654997
12879720,23.28449217,16.47875,1,880.2654998
12879780,22.94397644,16.47378472,1,880.2655
12879840,22.67768033,16.46888889,1,880.2655001
12879900,22.47197739,16.4640625,1,880.2655002
12879960,22.31431253,16.45930556,1,880.2655004
12880020,22.1932754,16.45461806,1,880.2655005
12880080,22.0995821,16.45,1,880.2655006
12880140,22.56177879,16.44545139,1,880.2655007
12880200,22.91784917,16.44097222,1,880.2655008
12880260,23.19668629,16.4365625,1,880.2655009
12880320,23.41431254,16.43222222,1,880.2655011
12880380,23.58117687,16.42795139,1,880.2655012
12880440,23.71274448,16.42375,1,880.2655013
12880500,23.81604649,16.41961806,1,880.2655014
12880560,23.89781832,16.41555556,1,880.2655015
12880620,23.9673851,16.4115625,1,880.2655016
12880680,24.01862174,16.40763889,1,880.2655016
12880740,24.06231846,16.40378472,1,880.2655017
12880800,24.09468443,16.4,1,880.2655018
12880860,24.12265843,16.39629326,1,880.2655019
12880920,23.67903601,16.39267245,1,880.265502
12880980,23.2618505,16.38913672,1,880.2655021
12881040,22.92167141,16.38568519,1,880.2655021
12881100,22.65369676,16.38231698,1,880.2655022
12881160,22.4464056,16.37903125,1,880.2655023
12881220,22.28760338,16.37582711,1,880.2655024
12881280,22.16579993,16.3727037,1,880.2655024
12881340,22.0716445,16.36966016,1,880.2655025
12881400,22.53267697,16.3666956,1,880.2655026
12881460,22.88750906,16.36380917,1,880.2655026
12881520,23.16379127,16.361,1,880.2655027
12881580,23.38009908,16.35826722,1,880.2655027
12881640,23.54946978,16.35560995,1,880.2655028
12881700,23.68136606,16.35302734,1,880.2655029
12881760,23.78495287,16.35051852,1,880.2655029
12881820,23.86706974,16.34808261,1,880.265503
12881880,23.9367689,16.34571875,1,880.265503
12881940,23.99175536,16.34342607,1,880.2655031
12882000,24.03249828,16.3412037,1,880.2655031
12882060,24.06766759,16.33905078,1,880.2655032
12882120,24.09392421,16.33696644,1,880.2655032
12882180,23.65143322,16.3349498,1,880.2655033
12882240,23.23498664,16.333,1,880.2655033
12882300,22.89616902,16.33111617,1,880.2655033
12882360,22.62885382,16.32929745,1,880.2655034
12882420,22.42203667,16.32754297,1,880.2655034
12882480,22.26360279,16.32585185,1,880.2655035
12882540,22.14209018,16.32422323,1,880.2655035
12882600,22.04816836,16.32265625,1,880.2655035
12882660,22.50866167,16.32115003,1,880.2655036
12882720,22.863332,16.3197037,1,880.2655036
12882780,23.1387726,16.31831641,1,880.2655036
12882840,23.35490848,16.31698727,1,880.2655037
12882900,23.52413064,16.31571542,1,880.2655037
12882960,23.65589861,16.3145,1,880.2655037
12883020,23.75940525,16.31334013,1,880.2655038
12883080,23.84146994,16.31223495,1,880.2655038
12883140,23.91114159,16.31118359,1,880.2655038
12883200,23.96268672,16.31018519,1,880.2655039
12883260,24.0071439,16.30923886,1,880.2655039
12883320,24.04008435,16.30834375,1,880.2655039
12883380,24.06856396,16.30749899,1,880.2655039
12883440,24.08995211,16.3067037,1,880.265504
12883500,23.64350461,16.30595703,1,880.265504
12883560,23.22456194,16.3052581,1,880.265504
12883620,22.88439276,16.30460605,1,880.265504
12883680,22.615174,16.304,1,880.265504
12883740,22.40685325,16.30343909,1,880.2655041
12883800,22.24725393,16.30292245,1,880.2655041
12883860,22.12484285,16.30244922,1,880.2655041
12883920,22.0302404,16.30201852,1,880.2655041
12883980,22.48955996,16.30162948,1,880.2655041
12884040,22.843075,16.30128125,1,880.2655042
12884100,23.11852751,16.30097295,1,880.2655042
12884160,23.3340337,16.3007037,1,880.2655042
12884220,23.50280406,16.30047266,1,880.2655042
12884280,23.63421665,16.30027894,1,880.2655042
12884340,23.73739901,16.30012167,1,880.2655043
12884400,23.81920447,16.3,1,880.2655043
12884460,23.88867629,16.29990926,1,880.2655043
12884520,23.94006585,16.29984554,1,880.2655043
12884580,23.98439365,16.29980904,1,880.2655043
12884640,24.0172775,16.2998,1,880.2655043
12884700,24.04566914,16.29981864,1,880.2655043
12884760,24.06700136,16.29986518,1,880.2655044
12884820,24.08559403,16.29993984,1,880.2655044
12884880,23.63568399,16.30004286,1,880.2655044
12884940,23.21417259,16.30017444,1,880.2655044
12885000,22.87219319,16.30033482,1,880.2655044
12885060,22.60152164,16.30052422,1,880.2655044
12885120,22.39210994,16.30074286,1,880.2655044
12885180,22.23168203,16.30099096,1,880.2655044
12885240,22.10861965,16.30126875,1,880.2655044
12885300,22.01351453,16.30157645,1,880.2655045
12885360,22.47192864,16.30191429,1,880.2655045
12885420,22.82518386,16.30228248,1,880.2655045
12885480,23.0998933,16.30268125,1,880.2655045
12885540,23.31488616,16.30311083,1,880.2655045
12885600,23.4832086,16.30357143,1,880.2655045
12885660,23.61429473,16.30406328,1,880.2655045
12885720,23.71715955,16.30458661,1,880.2655045
12885780,23.79870478,16.30514163,1,880.2655045
12885840,23.86796768,16.30572857,1,880.2655045
12885900,23.91918805,16.30634766,1,880.2655045
12885960,23.96318422,16.30699911,1,880.2655046
12886020,23.99812208,16.30768315,1,880.2655046
12886080,24.02424284,16.3084,1,880.2655046
12886140,24.04693688,16.30914989,1,880.2655046
12886200,24.06405009,16.30993304,1,880.2655046
12886260,24.07907877,16.31074967,1,880.2655046
12886320,23.62661812,16.3116,1,880.2655046
12886380,23.20299922,16.31248426,1,880.2655046
12886440,22.85938088,16.31340268,1,880.2655046
12886500,22.58767547,16.31435547,1,880.2655046
12886560,22.37752241,16.31534286,1,880.2655046
12886620,22.21654212,16.31636507,1,880.2655046
12886680,22.09303728,16.31742232,1,880.2655046
12886740,21.99758632,16.31851484,1,880.2655046
12886800,22.45514901,16.31964286,1,880.2655046
12886860,22.80728538,16.32080658,1,880.2655046
12886920,23.08193402,16.32200625,1,880.2655046
12886980,23.29662276,16.32324208,1,880.2655046
12887040,23.46463365,16.32451429,1,880.2655047
12887100,23.59545671,16.3258231,1,880.2655047
12887160,23.69817013,16.32716875,1,880.2655047
12887220,23.77949918,16.32855145,1,880.2655047
12887280,23.84858489,16.32997143,1,880.2655047
12887340,23.90308167,16.33142891,1,880.2655047
12887400,23.94342101,16.33292411,1,880.2655047
12887460,23.97827767,16.33445725,1,880.2655047
12887520,24.00606836,16.33602857,1,880.2655047
12887580,24.02833037,16.33763828,1,880.2655047
12887640,24.04512301,16.33928661,1,880.2655047
12887700,24.0598823,16.34097377,1,880.2655047
12887760,24.07195585,16.3427,1,880.2655047
12887820,24.08122849,16.34446551,1,880.2655047
12887880,24.08903879,16.34627054,1,880.2655047
12887940,23.63151968,16.34811529,1,880.2655047
12888000,23.20330154,16.35,1,880.2655047
12888060,22.85616324,16.35196459,1,880.2655047
12888120,22.58220723,16.3540464,1,880.2655047
12888180,22.37039109,16.35624176,1,880.2655047
12888240,22.20814809,16.35854701,1,880.2655047
12888300,22.08362737,16.36095849,1,880.2655047
12888360,22.52067077,16.36347253,1,880.2655047
12888420,22.86154109,16.36608547,1,880.2655047
12888480,23.12305312,16.36879365,1,880.2655047
12888540,23.32860194,16.37159341,1,880.2655047
12888600,23.48831336,16.37448107,1,880.2655047
12888660,23.61235,16.37745299,1,880.2655047
12888720,23.70955832,16.38050549,1,880.2655047
12888780,23.79156483,16.38363492,1,880.2655047
12888840,23.85204513,16.38683761,1,880.2655047
12888900,23.90379786,16.39010989,1,880.2655047
12888960,23.94200719,16.39344811,1,880.2655047
12889020,23.9750899,16.3968486,1,880.2655047
12889080,24.00144685,16.40030769,1,880.2655047
12889140,24.02125357,16.40382173,1,880.2655048
12889200,24.03851545,16.40738706,1,880.2655048
12889260,24.05160873,16.411,1,880.2655048
12889320,24.06319055,16.4146569,1,880.2655048
12889380,24.07209379,16.41835409,1,880.2655048
12889440,24.08012652,16.42208791,1,880.2655048
12889500,24.0864246,16.4258547,1,880.2655048
12889560,24.09183427,16.42965079,1,880.2655048
12889620,24.09652579,16.43347253,1,880.2655048
12889680,24.10083653,16.43731624,1,880.2655048
12889740,24.10443454,16.44117827,1,880.2655048
12889800,24.10777794,16.44505495,1,880.2655048
12889860,24.1106606,16.44894261,1,880.2655048
12889920,24.11328968,16.45283761,1,880.2655048
12889980,23.65072543,16.45673626,1,880.2655048
12890040,23.21880593,16.46063492,1,880.2655048
12890100,22.86779858,16.46452991,1,880.2655048
12890160,22.59160953,16.46841758,1,880.2655048
12890220,22.3780592,16.47229426,1,880.2655048
12890280,22.21441824,16.47615629,1,880.2655048
12890340,22.08871907,16.48,1,880.2655048
12890400,22.52500866,16.48382173,1,880.2655048
12890460,22.86044533,16.48761783,1,880.2655048
12890520,23.12229887,16.49138462,1,880.2655048
12890580,23.32657197,16.49511844,1,880.2655048
12890640,23.48565397,16.49881563,1,880.2655048
12890700,23.61018322,16.50247253,1,880.2655048
12890760,23.70761716,16.50608547,1,880.2655048
12890820,23.78477838,16.50965079,1,880.2655048
12890880,23.85035274,16.51316484,1,880.2655048
12890940,23.89863028,16.51662393,1,880.2655048
12891000,23.94012675,16.52002442,1,880.2655048
12891060,23.97298408,16.52336264,1,880.2655048
12891120,23.99740487,16.52663492,1,880.2655048
12891180,24.01861736,16.52983761,1,880.2655048
12891240,24.03450073,16.53296703,1,880.2655048
12891300,24.04851957,16.53601954,1,880.2655048
12891360,24.05908843,16.53899145,1,880.2655048
12891420,24.06853224,16.54187912,1,880.2655048
12891480,24.0757913,16.54467888,1,880.2655048
12891540,24.08194066,16.54738706,1,880.2655048
12891600,24.08753164,16.55,1,880.2655048
12891660,24.09199914,16.5525886,1,880.2655048
12891720,24.09589328,16.55522165,1,880.2655048
12891780,24.09932125,16.55789231,1,880.2655048
12891840,24.10236903,16.56059373,1,880.2655048
12891900,24.10510543,16.56331909,1,880.2655048
12891960,24.10758568,16.56606154,1,880.2655048
12892020,24.10985411,16.56881425,1,880.2655048
12892080,24.11194635,16.57157037,1,880.2655048
12892140,24.11389104,16.57432308,1,880.2655048
12892200,24.1157113,16.57706553,1,880.2655048
12892260,24.11742578,16.57979088,1,880.2655048
12892320,24.11904957,16.58249231,1,880.2655048
12892380,24.1205949,16.58516296,1,880.2655048
12892440,24.12207171,16.58779601,1,880.2655048
12892500,24.12348809,16.59038462,1,880.2655048
12892560,24.12485084,16.59292194,1,880.2655048
12892620,24.12616558,16.59540114,1,880.2655048
12892680,24.12743682,16.59781538,1,880.2655048
12892740,24.12866831,16.60015783,1,880.2655048
12892800,24.12986021,16.60242165,1,880.2655048
12892860,24.13101858,16.6046,1,880.2655048
12892920,24.13214559,16.60668604,1,880.2655048
12892980,24.13324305,16.60867293,1,880.2655048
12893040,24.13431252,16.61055385,1,880.2655048
12893100,24.13535534,16.61232194,1,880.2655048
12893160,24.13637269,16.61397037,1,880.2655048
12893220,24.1373656,16.61549231,1,880.2655048
12893280,24.13833498,16.61688091,1,880.2655048
12893340,24.13928163,16.61812934,1,880.2655048
12893400,24.14020628,16.61923077,1,880.2655048
12893460,24.14110956,16.62017835,1,880.2655048
12893520,24.14199206,16.62096524,1,880.2655048
12893580,24.1428543,16.62158462,1,880.2655048
12893640,24.14369675,16.62202963,1,880.2655048
12893700,24.14451997,16.62229345,1,880.2655048
12893760,24.14532435,16.62236923,1,880.2655048
12893820,24.14611026,16.62225014,1,880.2655048
12893880,24.14687803,16.62192934,1,880.2655048
12893940,24.14762797,16.6214,1,880.2655048
12894000,24.14836208,16.62065527,1,880.2655048
12894060,24.14907874,16.61968832,1,880.2655048
12894120,24.1497782,16.61849231,1,880.2655048
12894180,24.15046069,16.6170604,1,880.2655048
12894240,24.15112642,16.61538575,1,880.2655048
12894300,24.15178201,16.61346154,1,880.2655048
12894360,24.15241426,16.61128091,1,880.2655048
12894420,24.15303656,16.60883704,1,880.2655048
12894480,23.68777352,16.60612308,1,880.2655048
12894540,23.25332255,16.60313219,1,880.2655048
12894600,22.89875416,16.59985755,1,880.2655048
12894660,22.62104179,16.59629231,1,880.2655048
12894720,22.40637147,16.59242963,1,880.2655048
12894780,22.2416933,16.58826268,1,880.2655048
12894840,22.11500203,16.58378462,1,880.2655048
12894900,22.55110521,16.5789886,1,880.2655048
12894960,22.89094747,16.57386781,1,880.2655048
12895020,23.15104151,16.56841538,1,880.2655048
12895080,23.35372883,16.5626245,1,880.2655048
12895140,23.51145059,16.55648832,1,880.2655048
12895200,23.63468766,16.55,1,880.2655048
12895260,23.73128304,16.54328678,1,880.2655048
12895320,23.81301324,16.53648171,1,880.2655048
12895380,23.87360391,16.52958672,1,880.2655048
12895440,23.92566836,16.5226037,1,880.2655048
12895500,23.96447827,16.51553458,1,880.2655048
12895560,23.99828284,16.50838125,1,880.2655048
12895620,24.02552604,16.50114563,1,880.2655048
12895680,24.04642381,16.49382963,1,880.2655048
12895740,24.06482737,16.48643516,1,880.2655048
12895800,24.07923228,16.47896412,1,880.2655048
12895860,24.09215585,16.47141843,1,880.2655048
12895920,24.10253627,16.4638,1,880.2655048
12895980,24.11205149,16.45611073,1,880.2655048
12896040,24.11996457,16.44835255,1,880.2655048
12896100,23.66215928,16.44052734,1,880.2655048
12896160,23.23432638,16.43263704,1,880.2655048
12896220,22.88700934,16.42468354,1,880.2655048
12896280,22.61394503,16.41666875,1,880.2655048
12896340,22.40319526,16.40859459,1,880.2655048
12896400,22.24215141,16.40046296,1,880.2655048
12896460,22.11894002,16.39227578,1,880.2655048
12896520,22.02408671,16.38403495,1,880.2655048
12896580,22.48334607,16.37574239,1,880.2655048
12896640,22.83716692,16.3674,1,880.2655048
12896700,23.11295955,16.35900969,1,880.2655048
12896760,23.32946837,16.35057338,1,880.2655048
12896820,23.49930165,16.34209297,1,880.2655048
12896880,23.63160983,16.33357037,1,880.2655048
12896940,23.73617261,16.32500749,1,880.2655048
12897000,23.82451414,16.31640625,1,880.2655048
12897060,23.89045627,16.30776855,1,880.2655048
12897120,23.9469519,16.2990963,1,880.2655048
12897180,23.9923445,16.29039141,1,880.2655048
12897240,24.02686794,16.28165579,1,880.2655048
12897300,24.05658258,16.27289135,1,880.2655048
12897360,24.07948833,16.2641,1,880.2655048
12897420,23.6349382,16.25528365,1,880.2655048
12897480,23.21740302,16.24644421,1,880.2655048
12897540,22.87890542,16.23758359,1,880.2655048
12897600,22.61197102,16.2287037,1,880.2655048
12897660,22.40599172,16.21980645,1,880.2655048
12897720,22.24871015,16.21089375,1,880.2655048
12897780,22.12857186,16.20196751,1,880.2655048
12897840,22.03620252,16.19302963,1,880.2655048
12897900,22.49793971,16.18408203,1,880.2655048
12897960,22.85386499,16.17512662,1,880.2655048
12898020,23.13241042,16.16616531,1,880.2655048
12898080,23.35017631,16.1572,1,880.2655048
12898140,23.52121098,16.14823261,1,880.2655048
12898200,23.65501276,16.13926505,1,880.2655048
12898260,23.76065529,16.13029922,1,880.2655048
12898320,23.84496837,16.12133704,1,880.2655048
12898380,23.91693574,16.11238041,1,880.2655048
12898440,23.97087947,16.10343125,1,880.2655048
12898500,24.01758183,16.09449146,1,880.2655048
12898560,24.05523615,16.08556296,1,880.2655048
12898620,23.62138971,16.07664766,1,880.2655048
12898680,23.21203627,16.06774745,1,880.2655048
12898740,22.8794777,16.05886427,1,880.2655048
12898800,22.61729412,16.05,1,880.2655048
12898860,22.41491085,16.04113038,1,880.2655048
12898920,22.26014978,16.03223056,1,880.2655048
12898980,22.14177727,16.02330156,1,880.2655048
12899040,22.05057514,16.01434444,1,880.2655048
12899100,21.97989318,16.00536024,1,880.2655048
12899160,22.4572024,15.99635,1,880.2655048
